timestamp,power_usage,solar_output,battery_level,site,temperature_c
2026-05-24 15:12:44,5.1,2.96,66,Site-B,31.7
2026-05-24 15:27:44,4.93,2.94,65,Site-A,24.8
2026-05-24 15:42:44,5.01,2.99,65,Site-B,32.3
2026-05-24 15:57:44,4.8,2.44,67,Site-C,34.7
2026-05-24 16:12:44,4.44,1.91,59,Site-B,20.5
2026-05-24 16:27:44,4.36,1.95,59,Site-B,30.8
2026-05-24 16:42:44,4.3,2.01,65,Site-B,30.3
2026-05-24 16:57:44,4.17,2.06,62,Site-A,23.6
2026-05-24 17:12:44,3.53,0.85,58,Site-A,20.7
2026-05-24 17:27:44,3.5,0.96,58,Site-B,29.4
2026-05-24 17:42:44,3.67,1.34,63,Site-A,22.6
2026-05-24 17:57:44,3.08,0.88,57,Site-C,25.1
2026-05-24 18:12:44,2.56,0.2,55,Site-A,34.7
2026-05-24 18:27:44,2.9,0.0,54,Site-B,32.0
2026-05-24 18:42:44,3.33,0.0,54,Site-C,28.0
2026-05-24 18:57:44,3.01,0.0,53,Site-A,21.1
2026-05-24 19:12:44,2.68,0.0,55,Site-B,32.5
2026-05-24 19:27:44,2.39,0.0,55,Site-A,29.9
2026-05-24 19:42:44,2.48,0.0,55,Site-C,25.4
2026-05-24 19:57:44,2.55,0.0,53,Site-C,22.0
2026-05-24 20:12:44,1.7,0.0,58,Site-A,32.5
2026-05-24 20:27:44,1.52,0.0,57,Site-A,33.1
2026-05-24 20:42:44,1.55,0.0,58,Site-A,24.9
2026-05-24 20:57:44,1.23,0.0,58,Site-B,21.8
2026-05-24 21:12:44,1.37,0.0,58,Site-A,23.0
2026-05-24 21:27:44,0.93,0.0,55,Site-A,27.8
2026-05-24 21:42:44,1.38,0.0,54,Site-B,34.0
2026-05-24 21:57:44,1.46,0.0,58,Site-B,22.9
2026-05-24 22:12:44,0.63,0.0,60,Site-C,24.5
2026-05-24 22:27:44,1.1,0.0,55,Site-A,27.0
2026-05-24 22:42:44,0.5,0.0,62,Site-A,27.5
2026-05-24 22:57:44,0.6,0.0,59,Site-C,25.3
2026-05-24 23:12:44,0.61,0.0,59,Site-C,32.0
2026-05-24 23:27:44,0.87,0.0,54,Site-A,29.9
2026-05-24 23:42:44,0.64,0.0,57,Site-A,33.6
2026-05-24 23:57:44,0.53,0.0,56,Site-A,27.2
2026-05-25 00:12:44,0.5,0.0,62,Site-B,23.8
2026-05-25 00:27:44,1.0,0.0,58,Site-A,23.0
2026-05-25 00:42:44,0.5,0.0,62,Site-B,28.6
2026-05-25 00:57:44,0.61,0.0,55,Site-B,33.2
2026-05-25 01:12:44,1.18,0.0,60,Site-A,21.1
2026-05-25 01:27:44,0.68,0.0,59,Site-A,30.8
2026-05-25 01:42:44,0.92,0.0,57,Site-A,33.6
2026-05-25 01:57:44,0.85,0.0,58,Site-C,29.1
2026-05-25 02:12:44,0.69,0.0,56,Site-B,31.4
2026-05-25 02:27:44,1.16,0.0,55,Site-B,23.5
2026-05-25 02:42:44,1.16,0.0,57,Site-A,33.7
2026-05-25 02:57:44,0.5,0.0,60,Site-A,25.5
2026-05-25 03:12:44,1.18,0.0,56,Site-B,27.9
2026-05-25 03:27:44,1.5,0.0,58,Site-C,33.8
2026-05-25 03:42:44,0.8,0.0,56,Site-C,20.0
2026-05-25 03:57:44,1.74,0.0,58,Site-C,22.2
2026-05-25 04:12:44,1.84,0.0,53,Site-A,23.0
2026-05-25 04:27:44,2.01,0.0,57,Site-C,23.2
2026-05-25 04:42:44,2.12,0.0,54,Site-C,28.0
2026-05-25 04:57:44,2.19,0.0,60,Site-C,32.6
2026-05-25 05:12:44,1.66,0.0,55,Site-A,28.1
2026-05-25 05:27:44,2.68,0.0,54,Site-C,34.8
2026-05-25 05:42:44,2.06,0.0,53,Site-B,25.1
2026-05-25 05:57:44,2.78,0.0,53,Site-C,21.9
2026-05-25 06:12:44,2.81,0.0,51,Site-C,21.6
2026-05-25 06:27:44,3.31,0.18,50,Site-C,27.1
2026-05-25 06:42:44,2.99,0.31,56,Site-A,20.8
2026-05-25 06:57:44,2.93,0.02,50,Site-A,28.2
2026-05-25 07:12:44,3.68,1.12,57,Site-A,34.9
2026-05-25 07:27:44,3.67,0.88,59,Site-B,28.9
2026-05-25 07:42:44,3.65,1.12,59,Site-A,31.1
2026-05-25 07:57:44,3.6,0.89,56,Site-B,35.0
2026-05-25 08:12:44,4.59,2.28,62,Site-C,25.2
2026-05-25 08:27:44,4.36,2.2,59,Site-C,28.4
2026-05-25 08:42:44,4.01,1.75,61,Site-C,23.3
2026-05-25 08:57:44,4.25,2.19,62,Site-A,31.6
2026-05-25 09:12:44,4.93,3.06,62,Site-B,21.1
2026-05-25 09:27:44,4.89,2.64,63,Site-B,31.5
2026-05-25 09:42:44,4.49,3.02,66,Site-C,25.6
2026-05-25 09:57:44,4.55,2.98,66,Site-C,22.9
2026-05-25 10:12:44,5.61,3.64,64,Site-A,23.3
2026-05-25 10:27:44,5.32,3.19,65,Site-A,26.7
2026-05-25 10:42:44,5.05,3.36,66,Site-A,20.6
2026-05-25 10:57:44,5.47,3.44,65,Site-B,20.8
2026-05-25 11:12:44,5.04,4.06,71,Site-C,25.3
2026-05-25 11:27:44,5.16,3.72,68,Site-B,27.7
2026-05-25 11:42:44,6.1,4.09,66,Site-C,24.8
2026-05-25 11:57:44,5.63,3.54,65,Site-C,20.4
2026-05-25 12:12:44,5.18,3.95,70,Site-A,29.8
2026-05-25 12:27:44,5.86,3.94,67,Site-C,32.5
2026-05-25 12:42:44,5.71,3.91,67,Site-C,22.4
2026-05-25 12:57:44,5.42,4.34,69,Site-B,29.1
2026-05-25 13:12:44,5.26,3.9,69,Site-C,26.9
2026-05-25 13:27:44,5.35,3.51,70,Site-C,25.6
2026-05-25 13:42:44,5.7,4.33,71,Site-A,32.7
2026-05-25 13:57:44,5.46,3.97,65,Site-A,28.2
2026-05-25 14:12:44,5.05,3.14,66,Site-C,20.6
2026-05-25 14:27:44,5.52,3.35,64,Site-A,31.2
2026-05-25 14:42:44,5.24,3.57,69,Site-C,33.8
2026-05-25 14:57:44,5.23,3.3,65,Site-A,27.0
2026-05-25 15:12:44,4.65,2.78,63,Site-A,25.8
2026-05-25 15:27:44,4.8,2.69,61,Site-A,32.2
